,State_Name,District_Name,Season,Crop
0,Madhya Pradesh,BALAGHAT,Kharif     ,banana
1,Madhya Pradesh,BALAGHAT,Rabi       ,banana
2,Madhya Pradesh,BALAGHAT,Whole Year ,banana
3,Madhya Pradesh,NEEMUCH,Kharif     ,jute
4,Madhya Pradesh,NEEMUCH,Rabi       ,jute
5,Madhya Pradesh,NEEMUCH,Whole Year ,jute
6,Madhya Pradesh,RAJGARH,Kharif     ,maize
7,Madhya Pradesh,RAJGARH,Rabi       ,maize
8,Madhya Pradesh,RAJGARH,Whole Year ,maize
9,Madhya Pradesh,RATLAM,Kharif     ,maize
10,Madhya Pradesh,RATLAM,Rabi       ,maize
11,Madhya Pradesh,RATLAM,Whole Year ,maize
12,Madhya Pradesh,REWA,Kharif     ,maize
13,Madhya Pradesh,REWA,Rabi       ,maize
14,Madhya Pradesh,REWA,Whole Year ,maize
15,Madhya Pradesh,SAGAR,Kharif     ,maize
16,Madhya Pradesh,SAGAR,Rabi       ,maize
17,Madhya Pradesh,SAGAR,Whole Year ,maize
18,Madhya Pradesh,SATNA,Kharif     ,mango
19,Madhya Pradesh,SATNA,Rabi       ,mango
20,Tamil Nadu,KANCHIPURAM,Kharif     ,rice
21,Tamil Nadu,KANCHIPURAM,Rabi       ,rice
22,Tamil Nadu,KANCHIPURAM,Whole Year ,rice
23,Tamil Nadu,KANNIYAKUMARI,Kharif     ,rice
24,Tamil Nadu,KANNIYAKUMARI,Rabi       ,rice
25,Tamil Nadu,KANNIYAKUMARI,Whole Year ,rice
26,Tamil Nadu,KARUR,Kharif     ,rice
27,Tamil Nadu,KARUR,Rabi       ,rice
28,Tamil Nadu,KARUR,Whole Year ,rice
29,Tamil Nadu,KRISHNAGIRI,Kharif     ,rice
30,Tamil Nadu,KRISHNAGIRI,Rabi       ,rice
31,Tamil Nadu,KRISHNAGIRI,Whole Year ,rice
32,Tamil Nadu,MADURAI,Kharif     ,rice
33,Tamil Nadu,MADURAI,Rabi       ,rice
34,Tamil Nadu,MADURAI,Whole Year ,rice
35,Tamil Nadu,NAGAPATTINAM,Kharif     ,rice
36,Tamil Nadu,NAGAPATTINAM,Rabi       ,rice
37,Andhra Pradesh,ANANTAPUR,Kharif     ,apple
38,Andhra Pradesh,ANANTAPUR,Kharif     ,pomegranate
39,Andhra Pradesh,CHITTOOR,Kharif     ,pomegranate
40,Andhra Pradesh,EAST GODAVARI,Kharif     ,pomegranate
41,Andhra Pradesh,KADAPA,Kharif     ,pomegranate
42,Andhra Pradesh,KRISHNA,Kharif     ,pomegranate
43,Andhra Pradesh,KURNOOL,Kharif     ,pomegranate
44,Andhra Pradesh,PRAKASAM,Kharif     ,pomegranate
